X.ASV.ID	AMF_family  	
ASV_5414	Acaulosporaceae	
ASV_5740	Acaulosporaceae	
ASV_6893	Acaulosporaceae	
ASV_7354	Acaulosporaceae	
ASV_7957	Acaulosporaceae	
ASV_10760	Acaulosporaceae	
ASV_21513	Acaulosporaceae	
ASV_26171	Acaulosporaceae	
ASV_29439	Acaulosporaceae	
ASV_31013	Acaulosporaceae	
ASV_43206	Acaulosporaceae	
ASV_46332	Acaulosporaceae	
ASV_49823	Acaulosporaceae	
ASV_57817	Acaulosporaceae	
ASV_58638	Acaulosporaceae	
ASV_58734	Acaulosporaceae	
ASV_61921	Acaulosporaceae	
ASV_854	Ambisporaceae	
ASV_2260	Ambisporaceae	
ASV_2738	Ambisporaceae	
ASV_3113	Ambisporaceae	
ASV_4252	Ambisporaceae	
ASV_5053	Ambisporaceae	
ASV_5100	Ambisporaceae	
ASV_7146	Ambisporaceae	
ASV_9479	Ambisporaceae	
ASV_11861	Ambisporaceae	
ASV_13119	Ambisporaceae	
ASV_19140	Ambisporaceae	
ASV_30805	Ambisporaceae	
ASV_57483	Ambisporaceae	
ASV_774	Claroideoglomeraceae	
ASV_851	Claroideoglomeraceae	
ASV_1080	Claroideoglomeraceae	
ASV_1183	Claroideoglomeraceae	
ASV_3223	Claroideoglomeraceae	
ASV_3240	Claroideoglomeraceae	
ASV_3372	Claroideoglomeraceae	
ASV_3948	Claroideoglomeraceae	
ASV_4176	Claroideoglomeraceae	
ASV_5175	Claroideoglomeraceae	
ASV_5532	Claroideoglomeraceae	
ASV_5533	Claroideoglomeraceae	
ASV_5566	Claroideoglomeraceae	
ASV_5747	Claroideoglomeraceae	
ASV_6577	Claroideoglomeraceae	
ASV_6784	Claroideoglomeraceae	
ASV_6971	Claroideoglomeraceae	
ASV_7048	Claroideoglomeraceae	
ASV_7799	Claroideoglomeraceae	
ASV_8222	Claroideoglomeraceae	
ASV_8757	Claroideoglomeraceae	
ASV_9482	Claroideoglomeraceae	
ASV_10785	Claroideoglomeraceae	
ASV_11070	Claroideoglomeraceae	
ASV_11085	Claroideoglomeraceae	
ASV_11145	Claroideoglomeraceae	
ASV_11285	Claroideoglomeraceae	
ASV_11483	Claroideoglomeraceae	
ASV_11803	Claroideoglomeraceae	
ASV_11982	Claroideoglomeraceae	
ASV_12007	Claroideoglomeraceae	
ASV_12018	Claroideoglomeraceae	
ASV_12482	Claroideoglomeraceae	
ASV_12708	Claroideoglomeraceae	
ASV_12879	Claroideoglomeraceae	
ASV_13010	Claroideoglomeraceae	
ASV_13058	Claroideoglomeraceae	
ASV_13533	Claroideoglomeraceae	
ASV_14105	Claroideoglomeraceae	
ASV_14147	Claroideoglomeraceae	
ASV_14734	Claroideoglomeraceae	
ASV_14921	Claroideoglomeraceae	
ASV_14924	Claroideoglomeraceae	
ASV_15196	Claroideoglomeraceae	
ASV_15439	Claroideoglomeraceae	
ASV_15671	Claroideoglomeraceae	
ASV_16366	Claroideoglomeraceae	
ASV_16531	Claroideoglomeraceae	
ASV_16799	Claroideoglomeraceae	
ASV_16807	Claroideoglomeraceae	
ASV_16912	Claroideoglomeraceae	
ASV_17179	Claroideoglomeraceae	
ASV_17331	Claroideoglomeraceae	
ASV_17340	Claroideoglomeraceae	
ASV_17393	Claroideoglomeraceae	
ASV_17473	Claroideoglomeraceae	
ASV_18521	Claroideoglomeraceae	
ASV_19551	Claroideoglomeraceae	
ASV_19967	Claroideoglomeraceae	
ASV_20025	Claroideoglomeraceae	
ASV_20318	Claroideoglomeraceae	
ASV_20601	Claroideoglomeraceae	
ASV_20686	Claroideoglomeraceae	
ASV_20874	Claroideoglomeraceae	
ASV_20911	Claroideoglomeraceae	
ASV_21087	Claroideoglomeraceae	
ASV_21132	Claroideoglomeraceae	
ASV_22852	Claroideoglomeraceae	
ASV_23512	Claroideoglomeraceae	
ASV_23515	Claroideoglomeraceae	
ASV_23548	Claroideoglomeraceae	
ASV_23604	Claroideoglomeraceae	
ASV_23773	Claroideoglomeraceae	
ASV_24457	Claroideoglomeraceae	
ASV_24818	Claroideoglomeraceae	
ASV_24995	Claroideoglomeraceae	
ASV_25149	Claroideoglomeraceae	
ASV_25678	Claroideoglomeraceae	
ASV_25679	Claroideoglomeraceae	
