Sample	checked	Country	State	Site	Replicate	Remnant	Depth	Lat	Long
2019_AMF_1_S1_L001	Y	USA	KS	KNZ	1	Remnant	15	39.106	-96.61
2019_AMF_10_S10_L001	Y	USA	KS	KNZ	1	Post-ag	15	39.106	-96.61
2019_AMF_100_S36_L001	Y	USA	KS	RKS	1	Post-ag	5	39.194	-99.176
2019_AMF_101_S37_L001	Y	USA	KS	RKS	1	Post-ag	15	39.194	-99.176
2019_AMF_102_S38_L001	Y	USA	KS	RKS	1	Post-ag	75	39.194	-99.176
2019_AMF_103_S39_L001	Y	USA	KS	RKS	1	Post-ag	120	39.194	-99.176
2019_AMF_104_S40_L001	Y	USA	KS	RKS	1	Remnant	30	39.194	-99.176
2019_AMF_105_S41_L001	Y	USA	KS	RKS	1	Remnant	75	39.194	-99.176
2019_AMF_106_S42_L001	Y	USA	KS	RKS	1	Disturbed	5	39.194	-99.176
2019_AMF_107_S43_L001	Y	USA	KS	RKS	1	Disturbed	15	39.194	-99.176
2019_AMF_108_S44_L001	Y	USA	KS	RKS	1	Disturbed	30	39.194	-99.176
2019_AMF_109_S45_L001	Y	USA	KS	RKS	1	Disturbed	75	39.194	-99.176
2019_AMF_11_S11_L001	Y	USA	KS	KNZ	1	Post-ag	5	39.106	-96.61
2019_AMF_110_S46_L001	Y	USA	KS	RKS	1	Disturbed	120	39.194	-99.176
2019_AMF_111_S47_L001	Y	USA	KS	RKS	1	Post-ag	30	39.194	-99.176
2019_AMF_112_S48_L001	Y	USA	KS	RKS	1	Remnant	5	39.194	-99.176
2019_AMF_113_S49_L001	Y	USA	KS	RKS	1	Remnant	15	39.194	-99.176
2019_AMF_114_S50_L001	Y	USA	KS	RKS	1	Remnant	120	39.194	-99.176
2019_AMF_115_S51_L001	Y	USA	KS	TLI	1	Post-ag	5	38.81	-97.545
2019_AMF_116_S52_L001	Y	USA	KS	TLI	1	Post-ag	15	38.81	-97.545
2019_AMF_117_S53_L001	Y	USA	KS	TLI	1	Post-ag	30	38.81	-97.545
2019_AMF_118_S54_L001	Y	USA	KS	TLI	1	Post-ag	75	38.81	-97.545
2019_AMF_119_S55_L001	Y	USA	KS	TLI	1	Post-ag	120	38.81	-97.545
2019_AMF_12_S12_L001	Y	USA	KS	HAY	1	Remnant	15	38.844	-99.317
2019_AMF_13_S13_L001	Y	USA	KS	SVR	1	Remnant	5	38.872	-100.983
2019_AMF_14_S14_L001	Y	USA	KS	SVR	1	No	5	38.872	-100.983
2019_AMF_15_S15_L001	Y	USA	KS	SVR	1	Remnant	120	38.872	-100.983
2019_AMF_16_S16_L001	Y	USA	KS	SVR	1	Post-ag	120	38.872	-100.983
